266	https://tinyurl.com/microbesigslides	Link to share PDF files as (PMID.pdf):	https://www.dropbox.com/request/BNpgquRv3F0jjvlSar6x	https://tinyurl.com/microbesigs																																																																																																																																							
Dropbox	PubMed	PMID	source within paper	Free-form description	significance threshold	LDA Score >	threshold corrected for MHT? yes/no	control (unexposed) sample size	case (exposed) sample size	case definition 	study design	matched on	confounders controlled for	antibiotics exclusion	Country	host species	body_site	condition	sequencing type	16S variable region	sequencing platform	date of curation	curator	revision 	contrast (list control group last)	UP or DOWN	statistical test	Pielou	Shannon index	Chao1	Simpson	Inverse Simpson	Richness	taxon 1	taxon 2	taxon 3	taxon 4	taxon 5	taxon 6	taxon 7	taxon 8	taxon 9	taxon 10	taxon 11	taxon 12	taxon 13	taxon 14	taxon 15	taxon 16	taxon 17	taxon 18	taxon 19	taxon 20	taxon 21	taxon 22	taxon 23	taxon 24	taxon 25	taxon 26	taxon 27	taxon 28	taxon 29	taxon 30	taxon 31	taxon 32	taxon 33	taxon 34	taxon 35	taxon 36	taxon 37	taxon 38	taxon 39	taxon 40	taxon 41	taxon 42	taxon 43	taxon 44	taxon 45	taxon 46	taxon 47	taxon 48	taxon 49	taxon 50	taxon 51	taxon 52	taxon 53	taxon 54	taxon 55	taxon 56	taxon 57	taxon 58	taxon 59	taxon 60	taxon 61	taxon 62	taxon 63	taxon 64	taxon 65	taxon 66	taxon 67	taxon 68	taxon 69	taxon 70	taxon 71	taxon 72	taxon 73	taxon 74	taxon 75	taxon 76	taxon 77	taxon 78	taxon 79	taxon 80	taxon 81	taxon 82	taxon 83	taxon 84	taxon 85	taxon 86	taxon 87	taxon 88	taxon 89	taxon 90	taxon 91	taxon 92	taxon 93	taxon 94	taxon 95	taxon 96	taxon 97	taxon 98	taxon 99	taxon 100	taxon 101	taxon 102	taxon 103	taxon 104	taxon 105	taxon 106
		integer PMID	e.g. Supplemental Table 1	A written description of the signature, can copy and paste from table caption or the paper, to help someone interpret the signature if they find a similar one later.	p-value or FDR threshold used for differential abundance testing (if any)		Have statistical tests been corrected for multiple hypothesis testing (MHT)?	Number of subjects in the control (unexposed) group	Number of subjects in the case (exposed) group	Free-form description of the specific condition / phenotype represented in the case (exposed) group	case-control	Factors on which subjects have been matched in a case-control study (semicolon-separated list e.g. age;sex or none)	Confounding factors that have been accounted for by stratification or model adjustment (comma-separated list e.g. age, sex or none)	Antibiotics-related criteria used to exclude participants (NA / # months)	Country from which study subjects were recruited	Species from which microbiome was sampled (if applicable)	Anatomical site where microbial samples were extracted from according to the Uber Anatomy Ontology	The experimental condition / phenotype studied according to the Experimental Factor Ontology	Experimental technique used for quantifying microbial abundance (WMS = whole metagenome shotgun)	One or more hypervariable region(s) of the bacterial 16S gene	Manufacturer and experimental platform used for quantifying microbial abundance	standarized format mm/dd/yyyy	who entered the data?		a description of the contrast performed: helps the reader interpret the signature, says whether these taxa are up or down, and in what condition. Separate up and down taxa into separate signatures.	UP or DOWN refers to the direction of change in cases or treatment group relative to controls. E.g. UP means higher abundance in adenoma compared to controls	Statistical test or computational tool used for differential abundance testing	Pielou's evenness index: quantifies how equal the community is numerically (https://doi.org/10.1016/0022-5193(66)90013-0)	Shannon diversity index: estimator of species richness and species evenness with more weight on species richness (https://doi.org/10.1046/j.1466-822X.2003.00015.x)	Chao1 richness estimator: abundance-based estimator of species richness (https://www.jstor.org/stable/4615964)	Simpson’s diversity index: estimator of species richness and species evenness with more weight on species evenness (https://doi.org/doi:10.1038/163688a0)	Simpon's reciprocal diversity index: modification of Simpson’s index D as 1/D to obtain high values in datasets of high diversity and vice versa (https://doi.org/10.1002/ece3.1155)	Number of species (https://doi.org/doi:10.1038/163688a0)	Use as many columns as needed to enter the taxa in this signature. Note that allowable values include species, genus, family, etc. Order does not matter. Start with "g__" for genus, "s__" for species, etc, to get auto-complete assistance. Also can go to "metaphlantaxa.txt" tab to copy/paste from																																																																																																									
Dropbox	PubMed	28038683	Table 2 + Supplemental Table S5 + S3+ S4	Differential abundance was detected by the “DESeq” function in the DESeq2 package. All classes and genera with an FDR-adjusted q < 0.10 are included in the table. Models were adjusted for sex, age, study, and categorical BMI. See Additional file 1: Table S5 for comparisons at the phylum, order, and family level	0.1	NA	yes	323	144	conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.	case-control	NA	sex, age, categorical BMI, study	NYU included who had not been on long-term antibiotic treatment	United States of America	human	feces	adenoma	16S	V4	Illumina	2018-09-05	Levi Waldron	Shaimaa Elsafoury	conventional adenoma cases vs. controls 	UP	DESeq2	NA	NO	NA	NA	NA	NO	k__Bacteria|p__Firmicutes|c__Bacilli	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_zeae		k__Bacteria|p__Firmicutes|c__Bacilli	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_zeae	k__Bacteria|p__Firmicutes|c__Bacilli	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae																																																																																
Dropbox	PubMed	28038683	Table 2 + Supplemental Table S5 + S3+ S4	Differential abundance was detected by the “DESeq” function in the DESeq2 package. All classes and genera with an FDR-adjusted q < 0.10 are included in the table. Models were adjusted for sex, age, study, and categorical BMI. See Additional file 1: Table S5 for comparisons at the phylum, order, and family level	0.1	NA	yes	323	144	conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.	case-control	NA	sex, age, categorical BMI, study	NYU included who had not been on long-term antibiotic treatment	United States of America	human	feces	adenoma	16S	V4	Illumina	2018-09-05	Levi Waldron	Shaimaa Elsafoury	conventional adenoma cases vs. controls	DOWN	DESeq2	NA	YES	NA	NA	NA	YES	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	k__Bacteria|p__Cyanobacteria																																																																																																								
Dropbox	PubMed	28038683	Table 2 + Supplemental Table S5 + S3+ S4	Differential abundance was detected by the “DESeq” function in the DESeq2 package. All classes and genera with an FDR-adjusted q < 0.10 are included in the table. Models were adjusted for sex, age, study, and categorical BMI. See Additional file 1: Table S5 for comparisons at the phylum, order, and family level	0.1	NA	yes	323	40	conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.	case-control	NA	sex, age, categorical BMI, study	NYU included who had not been on long-term antibiotic treatment	United States of America	human	feces	hyperplastic polyp	16S	V4	Illumina	2018-09-05	Levi Waldron	Shaimaa Elsafoury	hyperplastic polyp cases vs. controls 	UP	DESeq2	NA	NO	NA	NA	NA	NO	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_zeae																																																																																																								
Dropbox	PubMed	28038683	Table 2 + Supplemental Table S5 + S3+ S4	Differential abundance was detected by the “DESeq” function in the DESeq2 package. All classes and genera with an FDR-adjusted q < 0.10 are included in the table. Models were adjusted for sex, age, study, and categorical BMI. See Additional file 1: Table S5 for comparisons at the phylum, order, and family level	0.1	NA	yes	323	40	conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.	case-control	NA	sex, age, categorical BMI, study	NYU included who had not been on long-term antibiotic treatment	United States of America	human	feces	hyperplastic polyp	16S	V4	Illumina	2018-09-05	Levi Waldron	Shaimaa Elsafoury	hyperplastic polyp cases vs. controls 	DOWN	DESeq2	NA	NO	NA	NA	NA	NO	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales																																																																																																							
Dropbox	PubMed	28038683	Supplemental Table S7 + S3	Differential abundance was detected by the “DESeq” function in the DESeq2 package. All classes and genera with an FDR-adjusted q < 0.10 are included in the table. Models were adjusted for sex, age, study, and categorical BMI. See Additional file 1: Table S5 for comparisons at the phylum, order, and family level	0.1	NA	yes	323	33	conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.	case-control	NA	sex, age, categorical BMI, study	NYU included who had not been on long-term antibiotic treatment	United States of America	human	feces	sessile serrated adenoma	16S	V4	Illumina	2018-09-05	Levi Waldron	Shaimaa Elsafoury	SSA cases vs. controls 	UP	DESeq2	NA	NO	NA	NA	NA	NO																																																																																																										
Dropbox	PubMed	28038683	Table 2 + Supplemental Table S5 + S3+ S4	Differential abundance was detected by the “DESeq” function in the DESeq2 package. All classes and genera with an FDR-adjusted q < 0.10 are included in the table. Models were adjusted for sex, age, study, and categorical BMI. See Additional file 1: Table S5 for comparisons at the phylum, order, and family level	0.1	NA	yes	323	33	conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.	case-control	NA	sex, age, categorical BMI, study	NYU included who had not been on long-term antibiotic treatment	United States of America	human	feces	sessile serrated adenoma	16S	V4	Illumina	2018-09-05	Levi Waldron	Shaimaa Elsafoury	SSA cases vs. controls 	DOWN	DESeq2	NA	NO	NA	NA	NA	NO	k__Bacteria|p__Firmicutes|c__Erysipelotrichia	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria																																																																																																								
Dropbox	PubMed	28038683	Supplemental Table S6 + S3	Differentially abundant taxa (phylum‐OTU level) between controls and proximal or distal conventional adenoma cases, as detected by the DESeq function in the DESeq2 package. Models were adjusted for age, sex, categorical BMI, and study. All taxa with an FDR‐adjusted q<0.10 are included in the table.	0.1	NA	yes	323	87	conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.	case-control	NA	sex, age, categorical BMI, study	NYU included who had not been on long-term antibiotic treatment	United States of America	human	feces	adenoma	16S	V4	Illumina	2018-09-05	Marianthi Thomatos	Shaimaa Elsafoury	Proximal conventional adenoma cases vs. controls 	UP	DESeq2	NA	NO	NA	NA	NA	NO	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	k__Bacteria|p__Firmicutes|c__Bacilli	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Tissierellaceae	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Anaerococcus	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae																																																																																		
Dropbox	PubMed	28038683	Supplemental Table S6 + S3	Differentially abundant taxa (phylum‐OTU level) between controls and proximal or distal conventional adenoma cases, as detected by the DESeq function in the DESeq2 package. Models were adjusted for age, sex, categorical BMI, and study. All taxa with an FDR‐adjusted q<0.10 are included in the table.	0.1	NA	yes	323	87	conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.	case-control	NA	sex, age, categorical BMI, study	NYU included who had not been on long-term antibiotic treatment	United States of America	human	feces	adenoma	16S	V4	Illumina	2018-09-05	Marianthi Thomatos	Shaimaa Elsafoury	Proximal conventional adenoma cases vs. controls 	DOWN	DESeq2	NA	NO	NA	NA	NA	NO	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus																																																																																																									
Dropbox	PubMed	28038683	Supplemental Table S6 + S3	Differentially abundant taxa (phylum‐OTU level) between controls and proximal or distal conventional adenoma cases, as detected by the DESeq function in the DESeq2 package. Models were adjusted for age, sex, categorical BMI, and study. All taxa with an FDR‐adjusted q<0.10 are included in the table.	0.1	NA	yes	323	55	conventional adenoma cases; those with at least one tubular or tubulovillous adenoma and no other polyps of hyperplastic, SSA, or unclassified histology. HP cases; having at least one HP, with no other polyps of tubular, tubulovillous, SSA, or unclassified histology. SSA cases; having at least one SSA, with or without HP(s), and with no other polyps of tubular, tubulovillous, or unclassified histology. Proximal polyps; polyps located in the cecum, ascending colon, hepatic flexure, transverse colon, or splenic flexure. Distal polyps; polyps located in the descending colon, sigmoid colon, or rectum.	case-control	NA	sex, age, categorical BMI, study	NYU included who had not been on long-term antibiotic treatment	United States of America	human	feces	adenoma	16S	V4	Illumina	2018-09-05	Marianthi Thomatos	Shaimaa Elsafoury	Distal conventional adenoma cases vs. controls 	UP	DESeq2	NA	NO	NA	NA	NA	NO																																																																																																										
